win,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,tower_kills_team_1,inhibitor_kills_team_1,baron_kills_team_1,dragon_kills_team_1,vilemaw_kills_team_1,rift_herald_kills_team_1,tower_kills_team_2,inhibitor_kills_team_2,baron_kills_team_2,dragon_kills_team_2,vilemaw_kills_team_2,rift_herald_kills_team_2,kills_top_team_1,assists_top_team_1,deaths_top_team_1,gold_earned_20m_top_team_1,cs_20m_top_team_1,xp_20m_top_team_1,damege_taken_20m_top_team_1,kills_middle_team_1,assists_middle_team_1,deaths_middle_team_1,gold_earned_20m_middle_team_1,cs_20m_middle_team_1,xp_20m_middle_team_1,damege_taken_20m_middle_team_1,kills_jungle_team_1,assists_jungle_team_1,deaths_jungle_team_1,gold_earned_20m_jungle_team_1,cs_20m_jungle_team_1,xp_20m_jungle_team_1,damege_taken_20m_jungle_team_1,kills_bottom_duo_support_team_1,assists_bottom_duo_support_team_1,deaths_bottom_duo_support_team_1,gold_earned_20m_bottom_duo_support_team_1,cs_20m_bottom_duo_support_team_1,xp_20m_bottom_duo_support_team_1,damege_taken_20m_bottom_duo_support_team_1,kills_bottom_duo_carry_team_1,assists_bottom_duo_carry_team_1,deaths_bottom_duo_carry_team_1,gold_earned_20m_bottom_duo_carry_team_1,cs_20m_bottom_duo_carry_team_1,xp_20m_bottom_duo_carry_team_1,damege_taken_20m_bottom_duo_carry_team_1,kills_top_team_2,assists_top_team_2,deaths_top_team_2,gold_earned_20m_top_team_2,cs_20m_top_team_2,xp_20m_top_team_2,damege_taken_20m_top_team_2,kills_middle_team_2,assists_middle_team_2,deaths_middle_team_2,gold_earned_20m_middle_team_2,cs_20m_middle_team_2,xp_20m_middle_team_2,damege_taken_20m_middle_team_2,kills_jungle_team_2,assists_jungle_team_2,deaths_jungle_team_2,gold_earned_20m_jungle_team_2,cs_20m_jungle_team_2,xp_20m_jungle_team_2,damege_taken_20m_jungle_team_2,kills_bottom_duo_support_team_2,assists_bottom_duo_support_team_2,deaths_bottom_duo_support_team_2,gold_earned_20m_bottom_duo_support_team_2,cs_20m_bottom_duo_support_team_2,xp_20m_bottom_duo_support_team_2,damege_taken_20m_bottom_duo_support_team_2,kills_bottom_duo_carry_team_2,assists_bottom_duo_carry_team_2,deaths_bottom_duo_carry_team_2,gold_earned_20m_bottom_duo_carry_team_2,cs_20m_bottom_duo_carry_team_2,xp_20m_bottom_duo_carry_team_2,damege_taken_20m_bottom_duo_carry_team_2
2,2,0,1,2,2,1,4,1,0,0,0,2,7,1,1,4,0,0,5,4,4,583.2,8.8,619.8,1023.0999999999999,8.0,3.0,3.0,631.6,11.7,715.2,631.8,3.0,7.0,5.0,318.8,0.7,366.6,673.4000000000001,1.0,6.0,10.0,265.9,1.2,259.0,828.0999999999999,2.0,4.0,10.0,248.10000000000002,6.1,374.70000000000005,820.8,7,5,4,448.40000000000003,7.6,512.4000000000001,863.3,2.0,9.0,4.0,357.4,8.0,463.9,607.2,14.0,13.0,2.0,590.8,0.30000000000000004,624.5999999999999,1102.3,3.0,21.0,2.0,420.59999999999997,0.7,393.6,415.3,6.0,10.0,7.0,470.4,8.6,510.2,761.5999999999999
2,1,2,2,2,2,2,0,0,0,0,0,0,11,2,1,4,0,2,4,9,8,261.3,3.9000000000000004,368.79999999999995,976.3,6.0,10.0,8.0,437.79999999999995,8.0,634.5,717.5,10.0,7.0,12.0,435.8,2.9000000000000004,297.2,1134.9,1.0,15.0,10.0,255.0,1.6,338.0,917.1999999999999,7.0,8.0,7.0,329.79999999999995,5.0,385.9,748.4,5,5,6,468.20000000000005,8.5,522.0999999999999,678.8,16.0,12.0,3.0,898.7,10.6,790.9,1373.8000000000002,11.0,6.0,6.0,598.7,1.2000000000000002,587.3,1195.3000000000002,4.0,23.0,7.0,498.9,1.7999999999999998,586.4,469.9,9.0,8.0,6.0,511.8,5.5,595.1,867.7
2,2,2,2,2,2,2,3,0,0,0,0,0,10,2,2,3,0,1,10,10,10,551.2,8.100000000000001,662.8,1276.1999999999998,3.0,10.0,8.0,374.0,5.8,391.3,434.2,11.0,7.0,11.0,562.8,2.1,450.4,846.0,4.0,15.0,5.0,360.29999999999995,0.7,424.3,340.0,6.0,12.0,8.0,468.2,7.1,462.5,431.20000000000005,13,5,7,405.1,5.8,469.2,599.6,10.0,8.0,10.0,7.0,5.0,8.0,491.0,595.9000000000001,1.3,7.1,523.2,530.7,930.9,1303.2,2.0,19.0,7.0,334.2,1.6,421.79999999999995,826.5,9.0,10.0,7.0,546.8,7.9,543.3,599.7
1,2,2,2,2,2,2,6,1,0,1,0,0,8,3,2,4,0,1,10,7,2,423.6,8.0,539.9,442.4,1.0,17.0,7.0,374.3,6.2,416.8,582.1,3.0,7.0,5.0,397.2,1.8,466.5,1000.2,7.0,7.0,2.0,507.0,1.8,332.2,573.7,5.0,7.0,3.0,375.20000000000005,6.9,434.0,536.8,0,2,6,299.4,6.0,359.4,548.2,15.0,2.0,5.0,634.1,7.300000000000001,616.2,832.7,1.0,7.0,5.0,541.9,2.8,635.0,911.9000000000001,0.0,6.0,6.0,229.0,0.8999999999999999,340.4,348.7,3.0,4.0,4.0,505.1,8.5,411.6,258.7
2,1,0,2,2,1,1,5,0,0,1,0,1,10,2,2,4,0,0,5,1,8,339.7,7.6000000000000005,408.2,693.6,8.0,4.0,11.0,457.2,6.7,532.1,936.9,3.0,11.0,11.0,396.4,0.4,453.3,1124.6,5.0,14.0,9.0,487.2,0.8,520.9,741.0,10.0,8.0,4.0,676.0,9.2,666.3,589.1,6,7,6,443.1,9.0,579.7,848.7,12.0,9.0,6.0,489.8,4.9,556.5,970.7,18.0,6.0,6.0,538.8,0.7999999999999999,658.3,1134.6,2.0,14.0,7.0,245.8,0.7999999999999999,267.6,781.0999999999999,5.0,6.0,6.0,395.29999999999995,7.5,414.9,877.0
2,2,0,2,0,2,1,4,0,0,0,0,1,8,1,0,2,0,1,1,7,4,2.0,3.0,6.0,399.1,526.0,8.1,6.2,548.4,463.4,890.9000000000001,910.0,3.0,5.0,7.0,360.29999999999995,2.3,336.8,663.3,2.0,5.0,6.0,260.1,1.2,266.6,582.8,2.0,1.0,5.0,300.7,6.4,392.70000000000005,514.4,11,7,4,489.9,6.2,582.6,925.2,9.0,1.0,3.0,9.0,3.0,4.0,509.4,344.0,7.8999999999999995,0.30000000000000004,536.3,409.9,848.4,1052.3000000000002,0.0,15.0,1.0,297.20000000000005,0.8999999999999999,415.9,448.3,6.0,5.0,3.0,523.9,9.3,578.4000000000001,950.4
1,1,0,1,2,1,1,7,1,1,4,0,2,4,0,1,0,0,0,9,9,1,538.4,8.399999999999999,522.0999999999999,761.1,9.0,10.0,2.0,398.9,6.4,513.2,551.3,8.0,9.0,2.0,538.9,2.7,557.4,599.1,2.0,15.0,2.0,312.7,1.4,393.0,446.1,9.0,7.0,6.0,412.7,7.5,519.8,633.0999999999999,5,3,1,2.0,8.0,6.0,430.6,387.0,0.8999999999999999,7.4,373.9,486.4,659.7,796.7,3.0,4.0,7.0,348.2,8.0,495.8,740.4,0.0,6.0,9.0,234.0,1.7,326.7,775.5,2.0,3.0,7.0,411.2,8.3,483.59999999999997,653.0
1,1,2,1,1,2,1,8,1,1,3,0,1,4,0,0,1,0,0,7,10,5,438.6,8.1,560.8,1443.6999999999998,10.0,12.0,3.0,339.0,5.0,479.9,895.5,14.0,14.0,4.0,571.1,1.7000000000000002,618.9,756.2,6.0,12.0,5.0,244.6,2.0,275.5,463.1,5.0,16.0,6.0,499.2,9.3,531.5,330.8,4,3,9,511.40000000000003,7.699999999999999,626.8,1662.9,1.0,4.0,8.0,347.6,7.699999999999999,550.5,956.5,3.0,2.0,10.0,314.29999999999995,1.5,359.29999999999995,990.6999999999999,3.0,12.0,6.0,351.4,1.4,418.09999999999997,606.8,12.0,3.0,9.0,510.5,9.3,488.0,798.4
1,2,0,0,1,1,2,5,0,1,3,0,1,1,0,0,0,0,1,2,7,6,387.5,6.1,487.70000000000005,818.2,8.0,12.0,4.0,601.1,10.8,741.9,833.2,15.0,5.0,2.0,649.3,0.9,568.9000000000001,1138.9,2.0,19.0,3.0,354.9,2.0,485.9,464.59999999999997,9.0,9.0,4.0,485.5,7.4,448.79999999999995,589.5,3,1,6,398.1,6.8,455.4,849.5,2.0,4.0,7.0,307.5,7.1,430.0,884.0,8.0,5.0,5.0,511.20000000000005,1.3,546.7,1012.3,0.0,7.0,9.0,229.3,0.6,257.0,757.2,6.0,2.0,9.0,451.4,6.1,355.4,908.5999999999999
1,1,0,1,1,1,2,10,2,2,4,0,0,4,0,0,1,0,1,7,9,6,465.5,8.899999999999999,645.8,697.5,5.0,13.0,3.0,365.0,7.4,412.0,563.6,12.0,16.0,6.0,436.6,1.9,587.8,716.8,4.0,18.0,4.0,303.5,0.30000000000000004,396.09999999999997,318.5,16.0,6.0,5.0,613.3,9.0,595.4000000000001,583.7,3,5,9,357.9,8.3,540.8,798.0,8.0,2.0,8.0,598.5,10.6,691.4,653.8,4.0,8.0,12.0,349.4,0.5,385.6,970.4,4.0,9.0,9.0,256.8,0.8,264.9,566.4,5.0,4.0,6.0,312.8,7.199999999999999,384.1,666.6
